time,open,high,low,close,volume,spread,real_volume
2017-01-17,825.11,902.51,821.51,900.47,368784,0,0
2017-01-18,900.46,909.8,845.86,881.19,321474,0,0
2017-01-19,880.69,903.99,872.82,895.63,227764,0,0
2017-01-20,895.64,896.44,874.5,893.22,130651,0,0
2017-01-23,917.1,921.3,907.25,908.08,175294,0,0
2017-01-24,908.05,916.86,876.27,878.91,258464,0,0
2017-01-25,878.92,897.61,878.44,887.34,137804,0,0
2017-01-26,887.35,913.16,887.3,908.63,108434,0,0
2017-01-27,908.64,918.43,902.37,914.0,107431,0,0
2017-01-30,906.58,916.31,904.13,913.86,73304,0,0
2017-01-31,913.88,963.77,911.63,957.5,182994,0,0
2017-02-01,957.51,980.16,956.01,977.78,187194,0,0
2017-02-02,977.79,1003.29,967.21,998.26,232564,0,0
2017-02-03,998.27,999.98,987.01,998.63,88681,0,0
2017-02-06,999.52,1025.64,997.05,1017.76,350014,0,0
2017-02-07,1017.75,1050.08,1015.46,1045.76,134504,0,0
